Tiempo - Posición(x)
t(s)	x(m)
0.000	2.583E-2
0.004	2.755E-2
0.008	2.933E-2
0.012	3.050E-2
0.017	3.448E-2
0.021	3.833E-2
0.025	4.643E-2
0.029	5.497E-2
0.033	6.918E-2
0.037	7.810E-2
0.042	9.238E-2
0.046	0.103
0.050	0.117
0.054	0.127
0.058	0.141
0.062	0.152
0.067	0.166
0.071	0.177
0.075	0.190
0.079	0.200
0.083	0.213
0.087	0.225
0.092	0.237
0.096	0.248
0.100	0.261
0.104	0.273
0.108	0.285
0.112	0.296
0.116	0.308
0.121	0.321
0.125	0.333
0.129	0.344
0.133	0.356
0.137	0.368
0.141	0.380
0.146	0.390
0.150	0.404
0.154	0.416
0.158	0.427
0.162	0.438
0.166	0.450
0.171	0.462
0.175	0.473
0.179	0.485
0.183	0.496
0.187	0.509
0.191	0.519
0.196	0.531
0.200	0.541
0.204	0.554
0.208	0.565
0.212	0.577
0.216	0.588
0.221	0.599
0.225	0.610
0.229	0.622
0.233	0.632
0.237	0.644
0.241	0.654
0.245	0.666
0.250	0.676
0.254	0.688
0.258	0.698
0.262	0.710
0.266	0.720
0.270	0.732
0.275	0.742
0.279	0.753
0.283	0.764
0.287	0.775
0.291	0.785
0.295	0.797
0.300	0.806
0.304	0.817
0.308	0.827
0.312	0.840
0.316	0.849
0.320	0.861
0.325	0.870
0.329	0.882
0.333	0.891
0.337	0.903
0.341	0.913
0.345	0.924
0.349	0.934
0.354	0.945
0.358	0.955
0.362	0.965
0.366	0.977
0.370	0.987
0.374	0.996
0.379	1.007
0.383	1.018
0.387	1.028
0.391	1.039
0.395	1.048
0.399	1.059
0.404	1.069
0.408	1.080
0.412	1.090
0.416	1.101
0.420	1.110
0.424	1.120
0.429	1.131
0.433	1.141
0.437	1.151
0.441	1.160
0.445	1.171
0.449	1.182
0.453	1.192
0.458	1.201
0.462	1.211
0.466	1.222
0.470	1.232
0.474	1.242
0.478	1.252
0.483	1.262
0.487	1.271
0.491	1.281
0.495	1.291
0.499	1.302
0.503	1.311
0.508	1.321
0.512	1.331
0.516	1.341
0.520	1.350
0.524	1.360
0.528	1.370
0.533	1.380
0.537	1.388
0.541	1.398
0.545	1.408
0.549	1.417
0.553	1.426
0.557	1.436
0.562	1.446
