Datos Tiempo - Posición(x) - Posición(y)
t	x	y
0.000	2.583E-2	2.726E-2
0.004	2.755E-2	2.864E-2
0.008	2.933E-2	3.025E-2
0.012	3.050E-2	3.183E-2
0.017	3.448E-2	3.499E-2
0.021	3.833E-2	3.962E-2
0.025	4.643E-2	4.854E-2
0.029	5.497E-2	5.777E-2
0.033	6.918E-2	6.884E-2
0.037	7.810E-2	8.025E-2
0.042	9.238E-2	9.124E-2
0.046	0.103	0.102
0.050	0.117	0.113
0.054	0.127	0.122
0.058	0.141	0.133
0.062	0.152	0.142
0.067	0.166	0.152
0.071	0.177	0.161
0.075	0.190	0.170
0.079	0.200	0.180
0.083	0.213	0.189
0.087	0.225	0.196
0.092	0.237	0.206
0.096	0.248	0.215
0.100	0.261	0.224
0.104	0.273	0.229
0.108	0.285	0.237
0.112	0.296	0.247
0.116	0.308	0.253
0.121	0.321	0.258
0.125	0.333	0.266
0.129	0.344	0.275
0.133	0.356	0.281
0.137	0.368	0.284
0.141	0.380	0.293
0.146	0.390	0.300
0.150	0.404	0.306
0.154	0.416	0.308
0.158	0.427	0.316
0.162	0.438	0.322
0.166	0.450	0.325
0.171	0.462	0.330
0.175	0.473	0.335
0.179	0.485	0.340
0.183	0.496	0.345
0.187	0.509	0.348
0.191	0.519	0.352
0.196	0.531	0.355
0.200	0.541	0.359
0.204	0.554	0.362
0.208	0.565	0.366
0.212	0.577	0.368
0.216	0.588	0.373
0.221	0.599	0.375
0.225	0.610	0.378
0.229	0.622	0.379
0.233	0.632	0.382
0.237	0.644	0.384
0.241	0.654	0.387
0.245	0.666	0.387
0.250	0.676	0.389
0.254	0.688	0.390
0.258	0.698	0.392
0.262	0.710	0.391
0.266	0.720	0.394
0.270	0.732	0.394
0.275	0.742	0.395
0.279	0.753	0.394
0.283	0.764	0.396
0.287	0.775	0.395
0.291	0.785	0.394
0.295	0.797	0.394
0.300	0.806	0.394
0.304	0.817	0.393
0.308	0.827	0.392
0.312	0.840	0.391
0.316	0.849	0.389
0.320	0.861	0.388
0.325	0.870	0.386
0.329	0.882	0.385
0.333	0.891	0.383
0.337	0.903	0.381
0.341	0.913	0.380
0.345	0.924	0.377
0.349	0.934	0.375
0.354	0.945	0.372
0.358	0.955	0.370
0.362	0.965	0.366
0.366	0.977	0.364
0.370	0.987	0.361
0.374	0.996	0.357
0.379	1.007	0.353
0.383	1.018	0.350
0.387	1.028	0.346
0.391	1.039	0.343
0.395	1.048	0.337
0.399	1.059	0.332
0.404	1.069	0.329
0.408	1.080	0.325
0.412	1.090	0.319
0.416	1.101	0.314
0.420	1.110	0.310
0.424	1.120	0.305
0.429	1.131	0.300
0.433	1.141	0.293
0.437	1.151	0.288
0.441	1.160	0.281
0.445	1.171	0.275
0.449	1.182	0.269
0.453	1.192	0.263
0.458	1.201	0.256
0.462	1.211	0.250
0.466	1.222	0.242
0.470	1.232	0.236
0.474	1.242	0.228
0.478	1.252	0.222
0.483	1.262	0.213
0.487	1.271	0.207
0.491	1.281	0.199
0.495	1.291	0.191
0.499	1.302	0.184
0.503	1.311	0.176
0.508	1.321	0.168
0.512	1.331	0.159
0.516	1.341	0.150
0.520	1.350	0.143
0.524	1.360	0.132
0.528	1.370	0.125
0.533	1.380	0.115
0.537	1.388	0.106
0.541	1.398	9.571E-2
0.545	1.408	8.813E-2
0.549	1.417	7.601E-2
0.553	1.426	6.802E-2
0.557	1.436	5.785E-2
0.562	1.446	4.711E-2
