Tiempo - Posición(y)
t(s)	y(m)
0.000	2.726E-2
0.004	2.864E-2
0.008	3.025E-2
0.012	3.183E-2
0.017	3.499E-2
0.021	3.962E-2
0.025	4.854E-2
0.029	5.777E-2
0.033	6.884E-2
0.037	8.025E-2
0.042	9.124E-2
0.046	0.102
0.050	0.113
0.054	0.122
0.058	0.133
0.062	0.142
0.067	0.152
0.071	0.161
0.075	0.170
0.079	0.180
0.083	0.189
0.087	0.196
0.092	0.206
0.096	0.215
0.100	0.224
0.104	0.229
0.108	0.237
0.112	0.247
0.116	0.253
0.121	0.258
0.125	0.266
0.129	0.275
0.133	0.281
0.137	0.284
0.141	0.293
0.146	0.300
0.150	0.306
0.154	0.308
0.158	0.316
0.162	0.322
0.166	0.325
0.171	0.330
0.175	0.335
0.179	0.340
0.183	0.345
0.187	0.348
0.191	0.352
0.196	0.355
0.200	0.359
0.204	0.362
0.208	0.366
0.212	0.368
0.216	0.373
0.221	0.375
0.225	0.378
0.229	0.379
0.233	0.382
0.237	0.384
0.241	0.387
0.245	0.387
0.250	0.389
0.254	0.390
0.258	0.392
0.262	0.391
0.266	0.394
0.270	0.394
0.275	0.395
0.279	0.394
0.283	0.396
0.287	0.395
0.291	0.394
0.295	0.394
0.300	0.394
0.304	0.393
0.308	0.392
0.312	0.391
0.316	0.389
0.320	0.388
0.325	0.386
0.329	0.385
0.333	0.383
0.337	0.381
0.341	0.380
0.345	0.377
0.349	0.375
0.354	0.372
0.358	0.370
0.362	0.366
0.366	0.364
0.370	0.361
0.374	0.357
0.379	0.353
0.383	0.350
0.387	0.346
0.391	0.343
0.395	0.337
0.399	0.332
0.404	0.329
0.408	0.325
0.412	0.319
0.416	0.314
0.420	0.310
0.424	0.305
0.429	0.300
0.433	0.293
0.437	0.288
0.441	0.281
0.445	0.275
0.449	0.269
0.453	0.263
0.458	0.256
0.462	0.250
0.466	0.242
0.470	0.236
0.474	0.228
0.478	0.222
0.483	0.213
0.487	0.207
0.491	0.199
0.495	0.191
0.499	0.184
0.503	0.176
0.508	0.168
0.512	0.159
0.516	0.150
0.520	0.143
0.524	0.132
0.528	0.125
0.533	0.115
0.537	0.106
0.541	9.571E-2
0.545	8.813E-2
0.549	7.601E-2
0.553	6.802E-2
0.557	5.785E-2
0.562	4.711E-2
