Posición(x) - Posición(y)
x(m)	y(m)
2.583E-2	2.726E-2
2.755E-2	2.864E-2
2.933E-2	3.025E-2
3.050E-2	3.183E-2
3.448E-2	3.499E-2
3.833E-2	3.962E-2
4.643E-2	4.854E-2
5.497E-2	5.777E-2
6.918E-2	6.884E-2
7.810E-2	8.025E-2
9.238E-2	9.124E-2
0.103	0.102
0.117	0.113
0.127	0.122
0.141	0.133
0.152	0.142
0.166	0.152
0.177	0.161
0.190	0.170
0.200	0.180
0.213	0.189
0.225	0.196
0.237	0.206
0.248	0.215
0.261	0.224
0.273	0.229
0.285	0.237
0.296	0.247
0.308	0.253
0.321	0.258
0.333	0.266
0.344	0.275
0.356	0.281
0.368	0.284
0.380	0.293
0.390	0.300
0.404	0.306
0.416	0.308
0.427	0.316
0.438	0.322
0.450	0.325
0.462	0.330
0.473	0.335
0.485	0.340
0.496	0.345
0.509	0.348
0.519	0.352
0.531	0.355
0.541	0.359
0.554	0.362
0.565	0.366
0.577	0.368
0.588	0.373
0.599	0.375
0.610	0.378
0.622	0.379
0.632	0.382
0.644	0.384
0.654	0.387
0.666	0.387
0.676	0.389
0.688	0.390
0.698	0.392
0.710	0.391
0.720	0.394
0.732	0.394
0.742	0.395
0.753	0.394
0.764	0.396
0.775	0.395
0.785	0.394
0.797	0.394
0.806	0.394
0.817	0.393
0.827	0.392
0.840	0.391
0.849	0.389
0.861	0.388
0.870	0.386
0.882	0.385
0.891	0.383
0.903	0.381
0.913	0.380
0.924	0.377
0.934	0.375
0.945	0.372
0.955	0.370
0.965	0.366
0.977	0.364
0.987	0.361
0.996	0.357
1.007	0.353
1.018	0.350
1.028	0.346
1.039	0.343
1.048	0.337
1.059	0.332
1.069	0.329
1.080	0.325
1.090	0.319
1.101	0.314
1.110	0.310
1.120	0.305
1.131	0.300
1.141	0.293
1.151	0.288
1.160	0.281
1.171	0.275
1.182	0.269
1.192	0.263
1.201	0.256
1.211	0.250
1.222	0.242
1.232	0.236
1.242	0.228
1.252	0.222
1.262	0.213
1.271	0.207
1.281	0.199
1.291	0.191
1.302	0.184
1.311	0.176
1.321	0.168
1.331	0.159
1.341	0.150
1.350	0.143
1.360	0.132
1.370	0.125
1.380	0.115
1.388	0.106
1.398	9.571E-2
1.408	8.813E-2
1.417	7.601E-2
1.426	6.802E-2
1.436	5.785E-2
1.446	4.711E-2
